#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0.407	-0.2035	-0.333333	0.666667	0.333333
0.408	-0.204	-0.333333	0.666667	0.333333
0.409	-0.2045	-0.333333	0.666667	0.333333
0.41	-0.205	-0.333333	0.666667	0.333333
0.411	-0.2055	-0.333333	0.666667	0.333333
0.412	-0.206	-0.333333	0.666667	0.333333
0.413	-0.2065	-0.333333	0.666667	0.333333
0.414	-0.207	-0.333333	0.666667	0.333333
0.415	-0.2075	-0.333333	0.666667	0.333333
0.416	-0.208	-0.333333	0.666667	0.333333
0.417	-0.2085	-0.333333	0.666667	0.333333
0.418	-0.209	-0.333333	0.666667	0.333333
0.419	-0.2095	-0.333333	0.666667	0.333333
0.42	-0.21	-0.333333	0.666667	0.333333
0.421	-0.2105	-0.333333	0.666667	0.333333
0.422	-0.211	-0.333333	0.666667	0.333333
0.423	-0.2115	-0.333333	0.666667	0.333333
0.424	-0.212	-0.333333	0.666667	0.333333
0.425	-0.2125	-0.333333	0.666667	0.333333
0.426	-0.213	-0.333333	0.666667	0.333333
0.427	-0.2135	-0.333333	0.666667	0.333333
0.428	-0.214	-0.333333	0.666667	0.333333
0.429	-0.2145	-0.333333	0.666667	0.333333
0.43	-0.215	-0.333333	0.666667	0.333333
0.431	-0.2155	-0.333333	0.666667	0.333333
0.432	-0.216	-0.333333	0.666667	0.333333
0.433	-0.2165	-0.333333	0.666667	0.333333
0.434	-0.217	-0.333333	0.666667	0.333333
0.435	-0.2175	-0.333333	0.666667	0.333333
0.436	-0.218	-0.333333	0.666667	0.333333
0.437	-0.2185	-0.333333	0.666667	0.333333
0.438	-0.219	-0.333333	0.666667	0.333333
0.439	-0.2195	-0.333333	0.666667	0.333333
0.44	-0.22	-0.333333	0.666667	0.333333
0.441	-0.2205	-0.333333	0.666667	0.333333
0.442	-0.221	-0.333333	0.666667	0.333333
0.443	-0.2215	-0.333333	0.666667	0.333333
0.444	-0.222	-0.333333	0.666667	0.333333
0.445	-0.2225	-0.333333	0.666667	0.333333
0.446	-0.223	-0.333333	0.666667	0.333333
0.447	-0.2235	-0.333333	0.666667	0.333333
0.448	-0.224	-0.333333	0.666667	0.333333
0.449	-0.2245	-0.333333	0.666667	0.333333
0.45	-0.225	-0.333333	0.666667	0.333333
0.451	-0.2255	-0.333333	0.666667	0.333333
0.452	-0.226	-0.333333	0.666667	0.333333
0.453	-0.2265	-0.333333	0.666667	0.333333
0.454	-0.227	-0.333333	0.666667	0.333333
0.455	-0.2275	-0.333333	0.666667	0.333333
0.456	-0.228	-0.333333	0.666667	0.333333
